replicate,recommended_minus_training_mean_1m_loss
118,-0.0002958125646404554
119,-0.009657178486006793
120,-0.009836008889797649
121,-0.0018776936683771901
122,0.0006975077625970497
123,-0.002214552062952099
124,-0.004832069782459886
125,-0.007111791681087866
126,-0.003681892282181148
127,-0.010770336407824906
128,-0.007536371975784249
129,-0.011153315522302944
130,-0.007015887807921218
131,-0.00023074146241336066
132,-0.011349832131782114
133,-0.0030994113693362142
134,-0.0069073072689532795
135,-0.004167710610229124
136,-0.005950538767217496
137,-0.006612924761655488
138,-0.005691765438026526
139,0.0026619691748642777
140,-0.005246177434780971
141,-0.010528957493720232
142,-0.015141340286002787
143,0.005566284444630093
144,-0.005481159662499088
145,-0.006719090482430912
146,-0.020422602529287258
147,-0.010424982772463743
148,-0.0016278242129745928
149,-0.007626568388834583
150,-0.014090132493028132
151,-0.0059271494462324065
152,-0.011317940415576965
153,-0.0027715417425568066
154,-0.0053377059583600665
155,-0.004792948227456581
156,-0.013516067797392771
157,-0.013975054720428384
158,-0.0030091515999910523
159,-0.013510322710963312
160,-0.010284512894999017
161,-0.0129080925951257
162,-0.0015189155469131225
163,-0.0019342715085585837
164,-0.016903635993770795
165,-0.003501522669918959
166,-0.008525770424888866
167,-0.013842519567963087
168,-0.011015514155657463
169,-0.0044566684892773
170,-0.0069517195633371645
171,-0.008933868413287756
172,-0.012937248506706054
173,-0.009965765617620744
174,-0.004528800682820744
175,-0.004382785762022431
176,-0.0021510831510465553
177,-0.002193425923229476
178,-0.0016598953599672953
179,-0.01326812134633556
180,0.0022532680993031153
181,-0.0013397370837743344
182,4.1292791757322964e-05
183,-0.005716870041560144
184,-0.005256771294652962
185,-0.008336046767766784
186,-0.011552917050593324
187,-0.006154228780689202
188,-0.01145171064394441
189,-0.008398219294364247
190,-0.0041350553213870544
191,-0.012244785984507638
192,-0.009685817145073885
193,-0.01360533754454231
194,-0.003638942000449532
195,-0.019361955925808517
196,-0.003593008071052669
197,-0.006941401383262455
198,-0.013961911927114204
199,-0.0082760745327937
200,-0.01025505354119455
201,-0.00495139862233099
202,-0.00011646033811809828
203,-0.005688978782948011
204,-0.00722392438373385
205,0.002980332101699382
206,-0.006064698305802602
207,-0.014581683069836593
208,0.0007862388054348142
209,-0.01038515241204656
210,-0.0025706518317378177
211,-0.00844786892424874
212,-0.009202469482162419
213,-0.012262753940630196
214,-0.005646719116371362
215,-0.0013878820472372766
216,-0.0016960231247516028
217,-0.010537661169616262
218,0.0017516813970759517
219,-0.0063691357225435265
220,-0.01073050105471219
221,-0.00824788553892892
222,-0.005960525258305861
223,-0.0011063104444005468
224,-0.013364645512813779
225,-0.003987013950181034
226,-0.006125444914959695
227,-0.00532739176923787
228,-0.0038950000140729087
229,-0.0049225672422608426
230,-0.010370086644798063
231,-0.005242353380907505
232,-0.010419511699300759
233,-0.009533682045215403
234,-0.00029380858747828694
235,-0.012843800130343226
236,0.0015571063312636267
237,-0.011136371731810514
238,-0.006363275390474182
239,-0.007697261497122635
240,-0.009466134931585695
241,-0.003748106040754935
242,-0.0023035266205763873
243,-0.009678679183724302
244,-0.015259367920492276
245,0.004309077951255499
246,-0.01892839025328019
247,-0.010031289142068068
248,-0.012305176351184726
249,-0.008263228226714865
250,-0.013136252722031304
251,-0.0030049793066755544
252,-0.0031127341334429934
253,-0.011660378350806362
254,-0.012270872481935662
255,-0.014626671180779325
256,-0.007987588321326785
257,-0.007749808664644423
258,-0.02091111666317292
259,-0.010364461197515905
260,-0.01593166274083601
261,-0.0036661331447098277
262,-0.008591553941874032
263,-0.009954999799545177
264,-0.0015283159017413176
265,-0.014919676590574978
266,-0.01377641864148374
267,-0.011910865588856111
268,-0.006841567810008066
269,0.002520538295047928
270,-0.010189629332292133
271,-0.006443592125394373
272,-0.009134227011810242
273,-0.00849627640130577
274,-0.015101329374291326
275,-0.010846601489936561
276,0.005426705847508147
277,0.0013152024588406743
278,-0.0028899931335982084
279,-0.0011590209064560285
280,0.001619188018098362
281,0.0010234737640895664
282,-0.01227113622562646
283,-0.007446803505855958
284,-0.006080587196436316
285,-0.008380336716199994
286,-0.007756376260639124
287,-0.0072385788695024204
288,-0.00863874534196113
289,-0.004167508822450344
290,-0.008852217061771537
291,-0.0002581616482909173
292,-0.004341643473734056
293,-0.0008328602771214503
294,-0.006050880521494587
295,-0.008841440520837046
296,-0.006006967218412425
297,-0.0047027058670163924
298,-0.0025295374027975402
299,-0.00381324300626823
300,-0.0031072782653918333
301,-0.0024128370364552617
302,-0.01058940620361074
303,-0.0036756401288113335
304,-0.007550564712554277
305,-0.012765789284388653
306,-0.012455689945514901
307,-0.011692936281023223
308,-0.013677518748535986
309,-0.012316835268955946
310,-0.018153672074437164
311,-0.0016240408036896446
312,-0.01819307023665743
313,-0.014119968716581117
314,-0.005223589861225707
315,-0.013265371557525715
316,-0.0051759235080367835
317,-0.007627271779711661
318,0.0023493101793455656
319,-0.015356261469619562
320,-0.014022122614270303
321,-0.011729241753288228
322,-0.006200392682097603
323,-0.007562073026197289
324,-0.009198470075377472
325,-0.007286216410343341
326,-0.010484826783070698
327,-0.009328867774750881
328,-0.0023598841178137375
329,-0.005181047791071451
330,-0.0001928121358071265
331,-0.014377382566780582
332,-0.0028642521975665736
333,-0.0045105696546543575
334,-0.011235930397004724
335,-0.0036243451188433338
336,-0.010582647504456331
337,-0.012878614149147217
338,-0.010557926990805856
339,-0.009638413549239923
340,-0.000910157985940652
341,-0.0096062683376047
342,-0.013293682796142344
343,-0.00824291897761903
344,-0.004536979076125032
345,-0.0066686979792902265
346,-0.014317328747286709
347,-0.007982772529736393
348,-0.01188369003317238
349,-0.008649096040776679
350,0.00037055842575673195
351,-0.018140793090754663
352,-0.010904308979089731
353,-0.002541528598083171
354,-0.005089035707972627
355,-0.003098914681510894
356,-0.004798600779676133
357,-0.013740093188608945
358,-0.008386277119139867
359,-0.012377550903207555
360,-0.008101638004589375
361,-0.0001275383346450807
362,-0.007494410353944051
363,-0.009268063910206153
364,-0.010845902728560647
365,-0.007606350144199738
366,-0.0034004367866111614
367,-0.012597534611406504
368,-0.001440711909819271
369,-0.009103695649090434
370,-0.014553901060654944
371,-0.003832301214568453
372,-0.005624733099790492
373,-0.0054088267654695665
374,0.0003846067733560901
375,-0.021694995023795502
376,0.000780935162551977
377,-0.009841196791878754
378,-0.005100394376016609
379,0.0008899373828567458
380,-0.0036876676016045877
381,-0.0017821634454404378
382,-0.005951160797725516
383,-0.010252560482132191
384,-0.00891936318751525
385,-0.014456893799841688
386,-0.007766073954301216
387,-0.009721874673625603
388,0.0014281356299483618
389,-0.004087054594205372
390,-0.0005765649974052121
391,-0.006632266786839026
392,-0.0032965362017131888
393,-0.0070005722578021885
394,-0.006798809776612697
395,-0.007141965711624312
396,0.002295547477287411
397,-0.011109998820308593
398,-0.0018309384739698502
399,-0.01151862950756596
400,-0.010896098182203938
401,-0.0068551994326848005
402,-0.0003746121818390671
403,-0.008094930269828687
404,-0.0018709483410728513
405,-0.013569769063448811
406,-0.015098060968079446
407,0.010079444501744781
408,-0.011296676190790816
409,-0.005589104890625602
410,-0.005478088419930565
411,-0.005169805916839253
412,-0.016221358483716926
413,-0.00966347547345342
414,-0.003718982087489109
415,-0.005440632465619433
416,0.003395405074057712
417,-0.0030776058566058424
418,-0.008310055242354246
419,-0.001999251416255397
420,-9.170824474848994e-05
421,0.0005347549598007043
422,-0.0046627404447529
423,-0.0021259046445381083
424,-0.006458291395271355
425,-0.017003623066119633
426,-0.005816839829649159
427,-0.008870018971062276
428,-0.017274112558454194
429,-0.007253931860940194
430,-0.002857499286909409
431,-0.01620634394868397
432,-0.0056047657486270296
433,-0.00914154109454517
434,-0.004852926931166377
435,-0.006263282831326605
436,-0.006976110744907085
437,-0.006589258060971104
438,-0.007315678854801742
439,-0.015104742565081932
440,-0.009494047470375914
441,-0.007962986998575498
442,-0.0006650559730774211
443,-0.009921430025875914
444,-0.012297419437753362
445,-0.003271983464896237
446,-0.010993887161204984
447,-0.004141050473773288
448,-0.004265902169864973
449,-0.010770555960473929
450,-0.00588133652425874
451,-0.006813776045358405
452,-0.011880184050265665
453,-0.015198982146444249
454,-0.009436198186211497
455,-0.002269754186893768
456,-0.010772199612574881
457,-0.0023282057752143717
458,-0.006753313565400664
459,-0.003173523422126439
460,-0.004252400731801578
461,-0.0020381467693777206
462,-0.0037814448556670235
463,-0.013473996939841127
464,-0.0047889211485861935
465,0.0024939757588535623
466,-0.002858774096555418
467,-0.006349811966644057
468,-0.012598815176418442
469,-0.004979215933194885
470,-0.009763784014158864
471,-0.00735807360318634
472,-0.00886736123756127
473,-0.006349777393513898
474,-0.011627668258302729
475,-0.005950455048687839
476,-0.005565733287056614
477,-0.021059459986439325
478,0.00033906910308311583
479,-0.01730368657221102
480,-0.011878668403226923
481,-0.006343475017021047
482,-0.0005871163526643703
483,-0.006768357636730511
484,0.0009538870525131297
485,-0.00871754992458262
486,-0.002343163550751457
487,-0.011154764894548636
488,-0.0034730580851852037
489,-0.011371822500797463
490,-0.010216019152638712
491,-0.013495074732645253
492,-0.005853561689574811
493,-0.010151365266978251
494,0.004672659821001015
495,-0.006232993095198728
496,-0.0032479078415818784
497,-0.0020553328909312368
498,-0.003754855002543203
499,-0.008278155599700032
